epoc (ms),timestamp (-04:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1572629711365,2019-11-01T13.35.11.365,5.5495480298996,-0.77978515625,-0.36328125,0.63525390625
1572629711365,2019-11-01T13.35.11.365,5.5495480298996,-0.78076171875,-0.361328125,0.63232421875
1572629711365,2019-11-01T13.35.11.365,5.5495480298996,-0.77880859375,-0.3564453125,0.638671875
1572629711545,2019-11-01T13.35.11.545,5.72956001758575,-0.7802734375,-0.349609375,0.6396484375
1572629711545,2019-11-01T13.35.11.545,5.72956001758575,-0.7841796875,-0.34130859375,0.638671875
1572629711545,2019-11-01T13.35.11.545,5.72956001758575,-0.7880859375,-0.3349609375,0.638671875
1572629711785,2019-11-01T13.35.11.785,5.9695839881897,-0.7890625,-0.330078125,0.640625
1572629711785,2019-11-01T13.35.11.785,5.9695839881897,-0.78662109375,-0.3359375,0.63916015625
1572629711785,2019-11-01T13.35.11.785,5.9695839881897,-0.77880859375,-0.35498046875,0.63623046875
1572629712115,2019-11-01T13.35.12.115,6.29965400695801,-0.7744140625,-0.376953125,0.63427734375
1572629712115,2019-11-01T13.35.12.115,6.29965400695801,-0.7685546875,-0.3857421875,0.63525390625
1572629712115,2019-11-01T13.35.12.115,6.29965400695801,-0.7685546875,-0.38525390625,0.63525390625
1572629712296,2019-11-01T13.35.12.296,6.48066306114197,-0.7705078125,-0.37939453125,0.6337890625
1572629712296,2019-11-01T13.35.12.296,6.48066306114197,-0.7763671875,-0.3740234375,0.6376953125
1572629712296,2019-11-01T13.35.12.296,6.48066306114197,-0.77685546875,-0.35498046875,0.634765625
1572629712505,2019-11-01T13.35.12.505,6.68938708305359,-0.783203125,-0.34423828125,0.63818359375
1572629712505,2019-11-01T13.35.12.505,6.68938708305359,-0.7802734375,-0.3525390625,0.6376953125
1572629712505,2019-11-01T13.35.12.505,6.68938708305359,-0.7802734375,-0.35546875,0.6357421875
1572629712775,2019-11-01T13.35.12.775,6.95960998535156,-0.77978515625,-0.35791015625,0.63720703125
1572629712775,2019-11-01T13.35.12.775,6.95960998535156,-0.77685546875,-0.36328125,0.64013671875
1572629712775,2019-11-01T13.35.12.775,6.95960998535156,-0.77685546875,-0.3662109375,0.642578125
1572629713105,2019-11-01T13.35.13.105,7.28970408439636,-0.77392578125,-0.3740234375,0.634765625
