epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g),file_num,person,activity
1582744950501,2020-02-26T14.22.30.501,27.659,1.027,0.134,-0.016,1,Sabrina,deadlift
1582744950580,2020-02-26T14.22.30.580,27.738,1.037,0.137,-0.009,1,Sabrina,deadlift
1582744950660,2020-02-26T14.22.30.660,27.818,1.100,0.158,0.006,1,Sabrina,deadlift
1582744950740,2020-02-26T14.22.30.740,27.898,1.208,0.181,-0.008,1,Sabrina,deadlift
1582744950820,2020-02-26T14.22.30.820,27.978,1.196,0.167,-0.006,1,Sabrina,deadlift
1582744950899,2020-02-26T14.22.30.899,28.057,1.131,0.115,-0.018,1,Sabrina,deadlift
1582744950978,2020-02-26T14.22.30.978,28.136,1.105,0.068,-0.017,1,Sabrina,deadlift
1582744951059,2020-02-26T14.22.31.059,28.217,1.118,0.080,0.000,1,Sabrina,deadlift
1582744951138,2020-02-26T14.22.31.138,28.296,1.113,0.044,0.006,1,Sabrina,deadlift
1582744951219,2020-02-26T14.22.31.219,28.377,1.087,0.003,0.007,1,Sabrina,deadlift
1582744951298,2020-02-26T14.22.31.298,28.456,1.093,0.073,0.003,1,Sabrina,deadlift
1582744951378,2020-02-26T14.22.31.378,28.536,1.049,0.104,-0.002,1,Sabrina,deadlift
1582744951457,2020-02-26T14.22.31.457,28.615,0.911,0.110,-0.006,1,Sabrina,deadlift
1582744951536,2020-02-26T14.22.31.536,28.694,0.750,0.044,-0.011,1,Sabrina,deadlift
1582744951617,2020-02-26T14.22.31.617,28.775,0.667,-0.076,-0.022,1,Sabrina,deadlift
1582744951696,2020-02-26T14.22.31.696,28.854,0.806,0.120,-0.007,1,Sabrina,deadlift
1582744951777,2020-02-26T14.22.31.777,28.935,1.027,0.300,-0.011,1,Sabrina,deadlift
1582744951856,2020-02-26T14.22.31.856,29.014,1.070,0.110,-0.002,1,Sabrina,deadlift
1582744951935,2020-02-26T14.22.31.935,29.093,1.037,0.023,0.010,1,Sabrina,deadlift
1582744952015,2020-02-26T14.22.32.015,29.173,0.967,0.102,0.011,1,Sabrina,deadlift
1582744952095,2020-02-26T14.22.32.095,29.253,0.851,0.121,0.010,1,Sabrina,deadlift
1582744952175,2020-02-26T14.22.32.175,29.333,0.706,0.042,0.007,1,Sabrina,deadlift
1582744952254,2020-02-26T14.22.32.254,29.412,0.742,-0.066,0.009,1,Sabrina,deadlift
1582744952335,2020-02-26T14.22.32.335,29.493,0.994,-0.177,0.010,1,Sabrina,deadlift
1582744952414,2020-02-26T14.22.32.414,29.572,1.122,-0.149,0.021,1,Sabrina,deadlift
1582744952493,2020-02-26T14.22.32.493,29.651,1.206,-0.032,0.021,1,Sabrina,deadlift
1582744952574,2020-02-26T14.22.32.574,29.732,1.135,0.176,0.008,1,Sabrina,deadlift
1582744952653,2020-02-26T14.22.32.653,29.811,1.069,0.261,0.008,1,Sabrina,deadlift
1582744952733,2020-02-26T14.22.32.733,29.891,0.922,0.176,0.010,1,Sabrina,deadlift
1582744952812,2020-02-26T14.22.32.812,29.970,0.749,0.032,0.004,1,Sabrina,deadlift
1582744952891,2020-02-26T14.22.32.891,30.049,0.727,-0.039,0.000,1,Sabrina,deadlift
1582744952972,2020-02-26T14.22.32.972,30.130,1.361,0.236,0.123,1,Sabrina,deadlift
1582744953051,2020-02-26T14.22.33.051,30.209,0.354,0.317,0.041,1,Sabrina,deadlift
1582744953132,2020-02-26T14.22.33.132,30.290,1.086,0.045,0.014,1,Sabrina,deadlift
1582744953211,2020-02-26T14.22.33.211,30.369,0.911,0.002,0.029,1,Sabrina,deadlift
1582744953290,2020-02-26T14.22.33.290,30.448,0.802,0.056,-0.036,1,Sabrina,deadlift
1582744953370,2020-02-26T14.22.33.370,30.528,1.072,0.154,-0.007,1,Sabrina,deadlift
1582744953450,2020-02-26T14.22.33.450,30.608,1.020,0.167,-0.005,1,Sabrina,deadlift
1582744953530,2020-02-26T14.22.33.530,30.688,1.012,0.162,-0.004,1,Sabrina,deadlift
1582744953609,2020-02-26T14.22.33.609,30.767,1.021,0.161,0.012,1,Sabrina,deadlift
1582744954008,2020-02-26T14.22.34.008,31.166,0.994,0.191,0.010,1,Sabrina,deadlift
1582744954088,2020-02-26T14.22.34.088,31.246,1.015,0.190,-0.000,1,Sabrina,deadlift
1582744954248,2020-02-26T14.22.34.248,31.406,1.022,0.192,-0.001,1,Sabrina,deadlift
1582744954327,2020-02-26T14.22.34.327,31.485,1.044,0.212,-0.002,1,Sabrina,deadlift
1582744954406,2020-02-26T14.22.34.406,31.564,1.143,0.256,-0.027,1,Sabrina,deadlift
1582744954487,2020-02-26T14.22.34.487,31.645,1.211,0.270,-0.025,1,Sabrina,deadlift
1582744954566,2020-02-26T14.22.34.566,31.724,1.146,0.209,-0.017,1,Sabrina,deadlift
1582744954646,2020-02-26T14.22.34.646,31.804,1.083,0.162,-0.005,1,Sabrina,deadlift
1582744954725,2020-02-26T14.22.34.725,31.883,1.097,0.192,-0.001,1,Sabrina,deadlift
1582744954806,2020-02-26T14.22.34.806,31.964,1.086,0.161,0.006,1,Sabrina,deadlift
1582744954885,2020-02-26T14.22.34.885,32.043,1.053,0.060,0.016,1,Sabrina,deadlift
1582744954964,2020-02-26T14.22.34.964,32.122,1.100,0.188,-0.003,1,Sabrina,deadlift
1582744955045,2020-02-26T14.22.35.045,32.203,1.092,0.215,-0.014,1,Sabrina,deadlift
1582744955124,2020-02-26T14.22.35.124,32.282,0.987,0.189,-0.024,1,Sabrina,deadlift
1582744955204,2020-02-26T14.22.35.204,32.362,0.821,0.124,-0.016,1,Sabrina,deadlift
1582744955283,2020-02-26T14.22.35.283,32.441,0.682,-0.043,-0.006,1,Sabrina,deadlift
1582744955363,2020-02-26T14.22.35.363,32.521,0.698,0.062,-0.001,1,Sabrina,deadlift
1582744955443,2020-02-26T14.22.35.443,32.601,0.894,0.407,-0.004,1,Sabrina,deadlift
1582744955522,2020-02-26T14.22.35.522,32.680,0.999,0.368,-0.005,1,Sabrina,deadlift
1582744955603,2020-02-26T14.22.35.603,32.761,1.004,0.081,-0.007,1,Sabrina,deadlift
1582744955762,2020-02-26T14.22.35.762,32.920,1.057,0.180,-0.011,1,Sabrina,deadlift
1582744955842,2020-02-26T14.22.35.842,33.000,1.033,0.138,0.008,1,Sabrina,deadlift
1582744955921,2020-02-26T14.22.35.921,33.079,0.995,0.156,0.014,1,Sabrina,deadlift
1582744956001,2020-02-26T14.22.36.001,33.159,1.021,0.152,0.006,1,Sabrina,deadlift
1582744956080,2020-02-26T14.22.36.080,33.238,1.036,0.152,0.003,1,Sabrina,deadlift
1582744956161,2020-02-26T14.22.36.161,33.319,1.030,0.139,0.003,1,Sabrina,deadlift
1582744956400,2020-02-26T14.22.36.400,33.558,0.986,0.152,0.003,1,Sabrina,deadlift
1582744956479,2020-02-26T14.22.36.479,33.637,0.912,0.213,-0.009,1,Sabrina,deadlift
1582744956559,2020-02-26T14.22.36.559,33.717,0.855,0.183,-0.006,1,Sabrina,deadlift
1582744956638,2020-02-26T14.22.36.638,33.796,0.817,0.093,-0.002,1,Sabrina,deadlift
1582744956719,2020-02-26T14.22.36.719,33.877,0.901,-0.033,0.002,1,Sabrina,deadlift
1582744956798,2020-02-26T14.22.36.798,33.956,1.021,-0.062,0.006,1,Sabrina,deadlift
1582744956877,2020-02-26T14.22.36.877,34.035,1.015,0.054,0.006,1,Sabrina,deadlift
